noise_id,noise_filename,source_filename,start_sec,end_sec,sample_rate,duration
noise_105337,BC2026_Train_4790_S02_20240206_190000_noise_00-05.wav,BC2026_Train_4790_S02_20240206_190000.ogg,0,5,32000,5
noise_81437,BC2026_Train_0090_S05_20250227_170004_noise_00-05.wav,BC2026_Train_0090_S05_20250227_170004.ogg,0,5,32000,5
noise_46494,BC2026_Train_7215_S22_20211020_231500_noise_05-10.wav,BC2026_Train_7215_S22_20211020_231500.ogg,5,10,32000,5
noise_23472,BC2026_Train_10450_S14_20250903_063400_noise_00-05.wav,BC2026_Train_10450_S14_20250903_063400.ogg,0,5,32000,5
noise_55662,BC2026_Train_1006_S01_20220425_181500_noise_05-10.wav,BC2026_Train_1006_S01_20220425_181500.ogg,5,10,32000,5
noise_119534,BC2026_Train_6765_S13_20231203_030000_noise_00-05.wav,BC2026_Train_6765_S13_20231203_030000.ogg,0,5,32000,5
noise_102001,BC2026_Train_0171_S07_20141005_030200_noise_00-05.wav,BC2026_Train_0171_S07_20141005_030200.ogg,0,5,32000,5
noise_119498,BC2026_Train_2239_S01_20240205_011500_noise_00-05.wav,BC2026_Train_2239_S01_20240205_011500.ogg,0,5,32000,5
noise_21697,BC2026_Train_3847_S02_20221202_013000_noise_05-10.wav,BC2026_Train_3847_S02_20221202_013000.ogg,5,10,32000,5
noise_38621,BC2026_Train_1495_S01_20230427_194500_noise_00-05.wav,BC2026_Train_1495_S01_20230427_194500.ogg,0,5,32000,5
noise_50202,BC2026_Train_3740_S02_20221103_220000_noise_05-10.wav,BC2026_Train_3740_S02_20221103_220000.ogg,5,10,32000,5
noise_53082,BC2026_Train_6889_S13_20240107_191500_noise_05-10.wav,BC2026_Train_6889_S13_20240107_191500.ogg,5,10,32000,5
noise_57869,BC2026_Train_9291_S22_20231011_020000_noise_00-05.wav,BC2026_Train_9291_S22_20231011_020000.ogg,0,5,32000,5
noise_93186,BC2026_Train_0247_S09_20250816_000000_noise_05-10.wav,BC2026_Train_0247_S09_20250816_000000.ogg,5,10,32000,5
noise_13825,BC2026_Train_6128_S13_20230121_203000_noise_05-10.wav,BC2026_Train_6128_S13_20230121_203000.ogg,5,10,32000,5
noise_88301,BC2026_Train_7375_S22_20211119_004500_noise_00-05.wav,BC2026_Train_7375_S22_20211119_004500.ogg,0,5,32000,5
noise_20988,BC2026_Train_10559_S17_20250222_000000_noise_00-05.wav,BC2026_Train_10559_S17_20250222_000000.ogg,0,5,32000,5
noise_110358,BC2026_Train_2796_S02_20211106_191500_noise_05-10.wav,BC2026_Train_2796_S02_20211106_191500.ogg,5,10,32000,5
noise_58613,BC2026_Train_4670_S02_20240108_193000_noise_00-05.wav,BC2026_Train_4670_S02_20240108_193000.ogg,0,5,32000,5
noise_27024,BC2026_Train_0165_S07_20140111_221100_noise_00-05.wav,BC2026_Train_0165_S07_20140111_221100.ogg,0,5,32000,5
noise_94337,BC2026_Train_8787_S22_20230113_204500_noise_00-05.wav,BC2026_Train_8787_S22_20230113_204500.ogg,0,5,32000,5
noise_103633,BC2026_Train_5757_S13_20221014_031500_noise_00-05.wav,BC2026_Train_5757_S13_20221014_031500.ogg,0,5,32000,5
noise_16512,BC2026_Train_0781_S01_20220114_003000_noise_00-05.wav,BC2026_Train_0781_S01_20220114_003000.ogg,0,5,32000,5
noise_61973,BC2026_Train_1324_S01_20230322_014500_noise_00-05.wav,BC2026_Train_1324_S01_20230322_014500.ogg,0,5,32000,5
noise_19237,BC2026_Train_9693_S22_20231221_230000_noise_05-10.wav,BC2026_Train_9693_S22_20231221_230000.ogg,5,10,32000,5
noise_61638,BC2026_Train_1012_S01_20220426_211500_noise_05-10.wav,BC2026_Train_1012_S01_20220426_211500.ogg,5,10,32000,5
noise_66582,BC2026_Train_5666_S13_20220918_001500_noise_05-10.wav,BC2026_Train_5666_S13_20220918_001500.ogg,5,10,32000,5
noise_117338,BC2026_Train_8712_S22_20221229_004500_noise_00-05.wav,BC2026_Train_8712_S22_20221229_004500.ogg,0,5,32000,5
noise_57390,BC2026_Train_8281_S22_20221009_040000_noise_05-10.wav,BC2026_Train_8281_S22_20221009_040000.ogg,5,10,32000,5
noise_81713,BC2026_Train_3962_S02_20230103_203000_noise_00-05.wav,BC2026_Train_3962_S02_20230103_203000.ogg,0,5,32000,5
noise_104425,BC2026_Train_10014_S22_20240217_191500_noise_00-05.wav,BC2026_Train_10014_S22_20240217_191500.ogg,0,5,32000,5
noise_88325,BC2026_Train_9370_S22_20231023_194500_noise_00-05.wav,BC2026_Train_9370_S22_20231023_194500.ogg,0,5,32000,5
noise_86718,BC2026_Train_7257_S22_20211029_031500_noise_05-10.wav,BC2026_Train_7257_S22_20211029_031500.ogg,5,10,32000,5
noise_91061,BC2026_Train_7071_S22_20210922_034500_noise_00-05.wav,BC2026_Train_7071_S22_20210922_034500.ogg,0,5,32000,5
noise_9432,BC2026_Train_10418_S12_20220411_054500_noise_00-05.wav,BC2026_Train_10418_S12_20220411_054500.ogg,0,5,32000,5
noise_119331,BC2026_Train_1256_S01_20230308_214500_noise_05-10.wav,BC2026_Train_1256_S01_20230308_214500.ogg,5,10,32000,5
noise_112853,BC2026_Train_5536_S13_20220410_190000_noise_00-05.wav,BC2026_Train_5536_S13_20220410_190000.ogg,0,5,32000,5
noise_72990,BC2026_Train_10650_S20_20250227_190000_noise_05-10.wav,BC2026_Train_10650_S20_20250227_190000.ogg,5,10,32000,5
noise_2448,BC2026_Train_0246_S09_20250816_000000_noise_00-05.wav,BC2026_Train_0246_S09_20250816_000000.ogg,0,5,32000,5
noise_60702,BC2026_Train_5786_S13_20221020_010000_noise_05-10.wav,BC2026_Train_5786_S13_20221020_010000.ogg,5,10,32000,5
noise_23785,BC2026_Train_10151_S22_20240310_213000_noise_05-10.wav,BC2026_Train_10151_S22_20240310_213000.ogg,5,10,32000,5
noise_5136,BC2026_Train_2374_S01_20240306_040000_noise_00-05.wav,BC2026_Train_2374_S01_20240306_040000.ogg,0,5,32000,5
noise_54737,BC2026_Train_3935_S02_20221224_233000_noise_00-05.wav,BC2026_Train_3935_S02_20221224_233000.ogg,0,5,32000,5
noise_9060,BC2026_Train_10144_S22_20240309_220000_noise_00-05.wav,BC2026_Train_10144_S22_20240309_220000.ogg,0,5,32000,5
noise_7285,BC2026_Train_3001_S02_20211230_184500_noise_05-10.wav,BC2026_Train_3001_S02_20211230_184500.ogg,5,10,32000,5
noise_40985,BC2026_Train_10532_S16_20241231_000000_noise_00-05.wav,BC2026_Train_10532_S16_20241231_000000.ogg,0,5,32000,5
noise_56526,BC2026_Train_4614_S02_20231225_031500_noise_05-10.wav,BC2026_Train_4614_S02_20231225_031500.ogg,5,10,32000,5
noise_24264,BC2026_Train_9506_S22_20231119_010000_noise_00-05.wav,BC2026_Train_9506_S22_20231119_010000.ogg,0,5,32000,5
noise_119691,BC2026_Train_2187_S01_20240125_020000_noise_05-10.wav,BC2026_Train_2187_S01_20240125_020000.ogg,5,10,32000,5
noise_121226,BC2026_Train_1381_S01_20230404_033000_noise_00-05.wav,BC2026_Train_1381_S01_20230404_033000.ogg,0,5,32000,5
noise_46049,BC2026_Train_9937_S22_20240204_201500_noise_00-05.wav,BC2026_Train_9937_S22_20240204_201500.ogg,0,5,32000,5
noise_78749,BC2026_Train_5651_S13_20220913_023000_noise_00-05.wav,BC2026_Train_5651_S13_20220913_023000.ogg,0,5,32000,5
noise_97745,BC2026_Train_3537_S02_20220913_203000_noise_00-05.wav,BC2026_Train_3537_S02_20220913_203000.ogg,0,5,32000,5
noise_91770,BC2026_Train_4982_S02_20240327_034500_noise_05-10.wav,BC2026_Train_4982_S02_20240327_034500.ogg,5,10,32000,5
noise_84641,BC2026_Train_0721_S01_20211231_211500_noise_00-05.wav,BC2026_Train_0721_S01_20211231_211500.ogg,0,5,32000,5
noise_113730,BC2026_Train_0578_S01_20211130_013000_noise_05-10.wav,BC2026_Train_0578_S01_20211130_013000.ogg,5,10,32000,5
noise_74958,BC2026_Train_0803_S01_20220119_230000_noise_05-10.wav,BC2026_Train_0803_S01_20220119_230000.ogg,5,10,32000,5
noise_27541,BC2026_Train_6024_S13_20221226_181500_noise_05-10.wav,BC2026_Train_6024_S13_20221226_181500.ogg,5,10,32000,5
noise_30109,BC2026_Train_5044_S02_20240411_231500_noise_05-10.wav,BC2026_Train_5044_S02_20240411_231500.ogg,5,10,32000,5
noise_56465,BC2026_Train_3289_S02_20220310_231500_noise_00-05.wav,BC2026_Train_3289_S02_20220310_231500.ogg,0,5,32000,5
noise_41370,BC2026_Train_2536_S01_20240413_203000_noise_05-10.wav,BC2026_Train_2536_S01_20240413_203000.ogg,5,10,32000,5
noise_108773,BC2026_Train_2980_S02_20211225_201500_noise_00-05.wav,BC2026_Train_2980_S02_20211225_201500.ogg,0,5,32000,5
noise_69449,BC2026_Train_5248_S13_20211031_201500_noise_00-05.wav,BC2026_Train_5248_S13_20211031_201500.ogg,0,5,32000,5
noise_114462,BC2026_Train_7990_S22_20220416_034500_noise_05-10.wav,BC2026_Train_7990_S22_20220416_034500.ogg,5,10,32000,5
noise_47466,BC2026_Train_7419_S22_20211128_031500_noise_05-10.wav,BC2026_Train_7419_S22_20211128_031500.ogg,5,10,32000,5
noise_82566,BC2026_Train_10053_S22_20240224_030000_noise_05-10.wav,BC2026_Train_10053_S22_20240224_030000.ogg,5,10,32000,5
noise_63210,BC2026_Train_8071_S22_20220901_034500_noise_05-10.wav,BC2026_Train_8071_S22_20220901_034500.ogg,5,10,32000,5
noise_54882,BC2026_Train_9027_S22_20230225_013000_noise_05-10.wav,BC2026_Train_9027_S22_20230225_013000.ogg,5,10,32000,5
noise_126966,BC2026_Train_0240_S10_20251129_102100_noise_05-10.wav,BC2026_Train_0240_S10_20251129_102100.ogg,5,10,32000,5
noise_86213,BC2026_Train_7636_S22_20220105_204500_noise_00-05.wav,BC2026_Train_7636_S22_20220105_204500.ogg,0,5,32000,5
noise_118682,BC2026_Train_10287_S22_20240330_004500_noise_00-05.wav,BC2026_Train_10287_S22_20240330_004500.ogg,0,5,32000,5
noise_67913,BC2026_Train_10484_S15_20250617_065600_noise_00-05.wav,BC2026_Train_10484_S15_20250617_065600.ogg,0,5,32000,5
noise_104318,BC2026_Train_3297_S02_20220312_184500_noise_05-10.wav,BC2026_Train_3297_S02_20220312_184500.ogg,5,10,32000,5
noise_62849,BC2026_Train_2468_S01_20240331_021500_noise_00-05.wav,BC2026_Train_2468_S01_20240331_021500.ogg,0,5,32000,5
noise_89225,BC2026_Train_0433_S01_20211101_011500_noise_00-05.wav,BC2026_Train_0433_S01_20211101_011500.ogg,0,5,32000,5
noise_54006,BC2026_Train_5701_S13_20220927_233000_noise_05-10.wav,BC2026_Train_5701_S13_20220927_233000.ogg,5,10,32000,5
noise_83369,BC2026_Train_7805_S22_20220207_010000_noise_00-05.wav,BC2026_Train_7805_S22_20220207_010000.ogg,0,5,32000,5
noise_117003,BC2026_Train_6875_S13_20240103_184500_noise_05-10.wav,BC2026_Train_6875_S13_20240103_184500.ogg,5,10,32000,5
noise_90605,BC2026_Train_0555_S01_20211124_033000_noise_00-05.wav,BC2026_Train_0555_S01_20211124_033000.ogg,0,5,32000,5
noise_75713,BC2026_Train_6838_S13_20231224_194500_noise_00-05.wav,BC2026_Train_6838_S13_20231224_194500.ogg,0,5,32000,5
noise_42630,BC2026_Train_0886_S01_20220206_183000_noise_05-10.wav,BC2026_Train_0886_S01_20220206_183000.ogg,5,10,32000,5
noise_20113,BC2026_Train_8632_S22_20221215_180000_noise_05-10.wav,BC2026_Train_8632_S22_20221215_180000.ogg,5,10,32000,5
noise_124913,BC2026_Train_8470_S22_20221114_194500_noise_00-05.wav,BC2026_Train_8470_S22_20221114_194500.ogg,0,5,32000,5
noise_37961,BC2026_Train_3554_S02_20220918_033000_noise_00-05.wav,BC2026_Train_3554_S02_20220918_033000.ogg,0,5,32000,5
noise_105605,BC2026_Train_10324_S22_20240405_010000_noise_00-05.wav,BC2026_Train_10324_S22_20240405_010000.ogg,0,5,32000,5
noise_121502,BC2026_Train_4879_S02_20240228_190000_noise_00-05.wav,BC2026_Train_4879_S02_20240228_190000.ogg,0,5,32000,5
noise_114137,BC2026_Train_0856_S01_20220131_210000_noise_00-05.wav,BC2026_Train_0856_S01_20220131_210000.ogg,0,5,32000,5
noise_61134,BC2026_Train_8018_S22_20220421_181500_noise_05-10.wav,BC2026_Train_8018_S22_20220421_181500.ogg,5,10,32000,5
noise_10585,BC2026_Train_3633_S02_20221009_220000_noise_05-10.wav,BC2026_Train_3633_S02_20221009_220000.ogg,5,10,32000,5
noise_100537,BC2026_Train_4666_S02_20240107_181500_noise_00-05.wav,BC2026_Train_4666_S02_20240107_181500.ogg,0,5,32000,5
noise_119883,BC2026_Train_1377_S01_20230403_040000_noise_05-10.wav,BC2026_Train_1377_S01_20230403_040000.ogg,5,10,32000,5
noise_9024,BC2026_Train_5766_S13_20221015_220000_noise_00-05.wav,BC2026_Train_5766_S13_20221015_220000.ogg,0,5,32000,5
noise_7968,BC2026_Train_3067_S02_20220114_010000_noise_00-05.wav,BC2026_Train_3067_S02_20220114_010000.ogg,0,5,32000,5
noise_40949,BC2026_Train_1561_S01_20230913_230000_noise_00-05.wav,BC2026_Train_1561_S01_20230913_230000.ogg,0,5,32000,5
noise_46722,BC2026_Train_0692_S01_20211225_214500_noise_05-10.wav,BC2026_Train_0692_S01_20211225_214500.ogg,5,10,32000,5
noise_33658,BC2026_Train_1000_S01_20220424_031500_noise_00-05.wav,BC2026_Train_1000_S01_20220424_031500.ogg,0,5,32000,5
noise_31872,BC2026_Train_6273_S13_20230304_224500_noise_00-05.wav,BC2026_Train_6273_S13_20230304_224500.ogg,0,5,32000,5
noise_117842,BC2026_Train_8088_S22_20220904_200000_noise_00-05.wav,BC2026_Train_8088_S22_20220904_200000.ogg,0,5,32000,5
noise_19380,BC2026_Train_1144_S01_20230215_220000_noise_00-05.wav,BC2026_Train_1144_S01_20230215_220000.ogg,0,5,32000,5
noise_66174,BC2026_Train_5075_S02_20240418_221500_noise_05-10.wav,BC2026_Train_5075_S02_20240418_221500.ogg,5,10,32000,5
noise_114318,BC2026_Train_7533_S22_20211218_190000_noise_05-10.wav,BC2026_Train_7533_S22_20211218_190000.ogg,5,10,32000,5
noise_36954,BC2026_Train_4582_S02_20231215_011500_noise_05-10.wav,BC2026_Train_4582_S02_20231215_011500.ogg,5,10,32000,5
noise_114378,BC2026_Train_6335_S13_20230327_010000_noise_05-10.wav,BC2026_Train_6335_S13_20230327_010000.ogg,5,10,32000,5
noise_82433,BC2026_Train_6301_S13_20230316_010000_noise_00-05.wav,BC2026_Train_6301_S13_20230316_010000.ogg,0,5,32000,5
noise_121598,BC2026_Train_7181_S22_20211014_193000_noise_00-05.wav,BC2026_Train_7181_S22_20211014_193000.ogg,0,5,32000,5
noise_109289,BC2026_Train_4454_S02_20231110_011500_noise_00-05.wav,BC2026_Train_4454_S02_20231110_011500.ogg,0,5,32000,5
noise_3013,BC2026_Train_0141_S06_20141212_211000_noise_05-10.wav,BC2026_Train_0141_S06_20141212_211000.ogg,5,10,32000,5
noise_48330,BC2026_Train_7541_S22_20211220_193000_noise_05-10.wav,BC2026_Train_7541_S22_20211220_193000.ogg,5,10,32000,5
noise_10188,BC2026_Train_4990_S02_20240329_003000_noise_00-05.wav,BC2026_Train_4990_S02_20240329_003000.ogg,0,5,32000,5
noise_42594,BC2026_Train_6529_S13_20230925_024500_noise_05-10.wav,BC2026_Train_6529_S13_20230925_024500.ogg,5,10,32000,5
noise_61530,BC2026_Train_3800_S02_20221118_210000_noise_05-10.wav,BC2026_Train_3800_S02_20221118_210000.ogg,5,10,32000,5
